Name,Type,PricePerHourPAYG,PricePerHourLP,ACU,CoreFactor,CoreFactorIndex,SSD,NumberOfCores,MemoryInMB,MaxNics,Bandwidth,MaxDataDiskCount,MaxDataDiskSizeGB,MaxDataDiskIops,MaxDataDiskThroughputMBs,MaxVmIops,MaxVmThroughputMBs,ResourceDiskSizeInMB,TempDiskSizeInGB,TempDiskIops,TempDiskReadMBs,TempDiskWriteMBs,SAPS2T,SAPS3T,HANA,Hyperthreaded
Standard_A2,VM,0.102,0.017,100,200, 0.51 ,No,2,3584,2,500,4,16384,2000,240,2000,240,138240,135,24000,375,187,Not Supported,Not Supported,Not Supported,No
Standard_A2_v2,VM,0.074,0.013,100,200, 0.37 ,No,2,4096,2,500,4,16384,2000,240,2000,240,20480,20,48000,750,375,Not Supported,Not Supported,Not Supported,No
Standard_A2m_v2,VM,0.105,0.017,100,200, 0.53 ,No,2,16384,2,500,4,16384,2000,240,2000,240,20480,20,60000,937,468,Not Supported,Not Supported,Not Supported,No
Standard_A3,VM,0.203,0.031,100,400, 0.51 ,No,4,7168,2,1000,8,32768,4000,480,4000,480,291840,285,3000,46,23,Not Supported,Not Supported,Not Supported,No
Standard_A4,VM,0.405,0.041,100,800, 0.51 ,No,8,14336,4,2000,16,65536,8000,960,8000,960,619520,605,6000,93,46,Not Supported,Not Supported,Not Supported,No
Standard_A4_v2,VM,0.155,0.027,100,400, 0.39 ,No,4,8192,4,1000,8,32768,4000,480,4000,480,40960,40,12000,187,93,Not Supported,Not Supported,Not Supported,No
Standard_A4m_v2,VM,0.22,0.036,100,400, 0.55 ,No,4,32768,4,1000,8,32768,4000,480,4000,480,40960,40,24000,375,187,Not Supported,Not Supported,Not Supported,No
Standard_A5,VM,0.228,0.034,100,200, 1.14 ,No,2,14336,2,500,4,16384,2000,240,2000,240,138240,135,48000,750,375,1500,12000,Not Supported,No
Standard_A6,VM,0.456,0.06,100,400, 1.14 ,No,4,28672,2,1000,8,32768,4000,480,4000,480,291840,285,1000,20,10,3000,25000,Not Supported,No
Standard_A7,VM,0.911,0.07,100,800, 1.14 ,No,8,57344,4,2000,16,65536,8000,960,8000,960,619520,605,2000,40,20,6000,50000,Not Supported,No
Standard_A8,VM,0.946,0.148,225,1800, 0.53 ,No,8,57344,2,unknown,32,131072,16000,1920,16000,1920,391168,382,2000,40,20,11000,Not Supported,Not Supported,No
Standard_A8_v2,VM,0.323,0.057,100,800, 0.40 ,No,8,16384,8,2000,16,65536,8000,960,8000,960,81920,80,4000,80,40,Not Supported,Not Supported,Not Supported,No
Standard_A8m_v2,VM,0.461,0.074,100,800, 0.58 ,No,8,65536,8,2000,16,65536,8000,960,8000,960,81920,80,4000,80,40,Not Supported,Not Supported,Not Supported,No
Standard_A9,VM,1.892,0.296,225,3600, 0.53 ,No,16,114688,4,unknown,64,262144,32000,3840,32000,3840,391168,382,8000,160,80,22000,Not Supported,Not Supported,No
Standard_D1,VM,0.071,0.011,160,160, 0.44 ,No,1,3584,2,500,4,16384,2000,240,2000,240,51200,50,8000,160,80,Not Supported,Not Supported,Not Supported,No
Standard_D1_v2,VM,0.058,0.01,210,210, 0.28 ,No,1,3584,2,750,4,16384,2000,240,2000,240,51200,50,3000,46,23,Not Supported,Not Supported,Not Supported,No
Standard_D11,VM,0.189,0.03,160,320, 0.59 ,No,2,14336,2,1000,8,32768,4000,480,4000,480,102400,100,6000,93,46,2325,Request,Not Supported,No
Standard_D11_v2,VM,0.161,0.026,210,420, 0.38 ,No,2,14336,2,1500,8,32768,4000,480,4000,480,102400,100,12000,187,93,Not Supported,Not Supported,Not Supported,No
Standard_D12,VM,0.379,0.06,160,640, 0.59 ,No,4,28672,4,2000,16,65536,8000,960,8000,960,204800,200,24000,375,187,4650,Request,Not Supported,No
Standard_D12_v2,VM,0.32,0.051,210,840, 0.38 ,No,4,28672,4,3000,16,65536,8000,960,8000,960,204800,200,6000,93,46,Not Supported,Not Supported,Not Supported,No
Standard_D13,VM,0.757,0.119,160,1280, 0.59 ,No,8,57344,8,4000,32,131072,16000,1920,16000,1920,409600,400,12000,187,93,9300,Not Supported,Not Supported,No
Standard_D13_v2,VM,0.641,0.102,210,1680, 0.38 ,No,8,57344,8,6000,32,131072,16000,1920,16000,1920,409600,400,24000,375,187,Not Supported,Not Supported,Not Supported,No
Standard_D14,VM,1.492,0.234,160,2560, 0.58 ,No,16,114688,8,6000 - 8000+,64,262144,32000,3840,32000,3840,819200,800,48000,750,375,18600,Not Supported,Not Supported,No
Standard_D14_v2,VM,1.281,0.202,210,3360, 0.38 ,No,16,114688,8,6000 - 12000+,64,262144,32000,3840,32000,3840,819200,800,96000,1500,750,Not Supported,Not Supported,Not Supported,No
Standard_D15_v2,VM,1.6,0.253,210,4200, 0.38 ,No,20,143360,8,20000 (AN),64,262144,32000,3840,32000,3840,286720,280,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
